URL,Title,Comment Count,Share Count,Digg Count,Collect Count,Timestamp
https://www.iesdouyin.com/share/video/7460009588524338486/?region=CN&mid=7460010126376848191&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=vt.eUdBvE9QlPfxn7qfWcmK8ObAZuZv17XPPeRctKXs-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,一队执着的平头哥 #小五哥哥 #和平精英 #抖音精选计划 #新春环游记  #大吉大利和平年,6472,43689,471645,25216,2025-01-17 17:00:00
https://www.iesdouyin.com/share/video/7460085923196259593/?region=CN&mid=7460085904321809193&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=IRr33uSNiRrIULRAiQXQiCQWM8.PgwxKOqxi4nloGW4-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,暗区等你 #暗区周周送4格安全箱 #暗区突围 #暗区史上最大福利 #暗区真的听劝了,2690,8656,150234,8997,2025-01-15 19:34:30
https://www.iesdouyin.com/share/video/7455376965592239396/?region=CN&mid=7455379735436757797&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=ZzkwLFkZGhE80vItIfvaNjIeJyMKo4thPXx1lqc2vyo-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,救你们的不是大圣而是攥紧拳头的自己 #小五哥哥 #新春环游记 #抖音精选计划 #游戏 #解说,5057,17335,317374,21957,2025-01-03 17:00:00
https://www.iesdouyin.com/share/video/7454491269591469349/?region=CN&mid=7454491410377607945&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=rd.B5eJ3L5z4W.9MBRs9pNcJcOuYYFR9yGLuh4Ao2dk-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,新版本暗区，单四全是六套到底如何求生 #暗区突围新版本极境风雪上线 #暗区这次真听劝了 #暗区突围,6200,20485,329804,23678,2024-12-31 19:00:04
https://www.iesdouyin.com/share/video/7453167852661542156/?region=CN&mid=7453170757951114022&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=unGpcpZvDPLcypBza1e6gg.LmATw.Lh0cHz5Qlhtl3w-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,越来越离谱了 #小五哥哥  #和平精英教学  #游戏 #解说 #抖音精选计划,6419,34191,422295,25026,2024-12-28 10:00:00
https://www.iesdouyin.com/share/video/7453013186116095273/?region=CN&mid=7453013644041800475&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=X1B.aUiiGUlYCWLEVPKwCrT8pZJxeM_63yNO9.GTcIY-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,风水轮流转～ #小五哥哥  #和平精英教学#游戏#解说,5519,31494,454377,23233,2024-12-27 16:59:22
https://www.iesdouyin.com/share/video/7450746939345259814/?region=CN&mid=7450746766533200679&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=OPZwhMMlCwwXSVmvmfhKrnD8E5cS9P8cvDppDV04NvE-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,一穿肆电竞指套，挑战黑暗料理测试指套 #小五哥哥 #指套,1196,2862,93015,8263,2024-12-21 14:24:03
https://www.iesdouyin.com/share/video/7450415124566871315/?region=CN&mid=7450415619977071370&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=PbxlALThR34I3j5X44MgPNKvSTfzRQxVG7WdwX35WYY-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,这还是超体吗 #小五哥哥  #游戏 #解说 #搞笑  #和平精英教学,3213,23416,377914,16470,2024-12-21 10:00:00
https://www.iesdouyin.com/share/video/7450329395002182966/?region=CN&mid=7450329429391182603&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=d16tjfM3UC61ZCAqcgNeln14ZIp0gzPNNdECPYxaYdY-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,如果时间能倒流... #小五哥哥 #和平精英教学  #游戏 #解说,20433,161570,890590,45975,2024-12-20 17:00:00
https://www.iesdouyin.com/share/video/7448189004891180339/?region=CN&mid=7448188990206839593&u_code=10h025536ijh&did=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&iid=MS4wLjABAAAANwkJuWIRFOzg5uCpDRpMj4OX-QryoDgn-yYlXQnRwQQ&with_sec_did=1&video_share_track_ver=&titleType=title&share_sign=nDmfn8q33y12unDhlj6MRgxyqsrkbXKPSNT9h3a2knk-&share_version=0&ts=1743075763&from_aid=6383&from_ssr=1,一穿肆电竞指套，即丝滑又灵敏不断触 #小五哥哥 #指套,571,1248,79598,7426,2024-12-14 16:57:46
